path,name,usagov
/US FEDERAL GOVERNMENT,US FEDERAL GOVERNMENT,{'name': 'US FEDERAL GOVERNMENT'}
/US FEDERAL GOVERNMENT/[usagov] Bureau of the Fiscal Service,[usagov] Bureau of the Fiscal Service,"{'name': 'Bureau of the Fiscal Service', 'description': 'The Bureau of the Fiscal Service manages all federal payments and collections, and provides government-wide accounting and reporting services. You can contact them to buy bonds or to check on the maturity of bonds you own.', 'website': [{'link': 'http://www.fiscal.treasury.gov', 'title': 'Bureau of the Fiscal Service'}, {'link': 'http://www.treasurydirect.gov/', 'title': 'Buy and Redeem U.S. Government Securities'}], 'contact': [{'link': 'https://www.fiscal.treasury.gov/contact/', 'title': ''}, {'link': 'https://www.fiscal.treasury.gov/contact/', 'title': 'Contact the Bureau of the Fiscal Service'}], 'phone_number': ['1-202-874-6950'], 'main_address': ['Liberty Center Building', '401 14th St., SW', 'Washington,', 'DC', '20227']}"
/US FEDERAL GOVERNMENT/[usagov] U.S. Census Bureau,[usagov] U.S. Census Bureau,"{'name': 'U.S. Census Bureau', 'description': ""The U.S. Census Bureau provides data about the nation's people and economy."", 'website': [{'link': 'https://www.census.gov/', 'title': 'Census Bureau'}], 'contact': [{'link': 'http://www.census.gov/about/contact-us.html', 'title': ''}, {'link': 'http://www.census.gov/about/contact-us.html', 'title': 'Contact the Census Bureau'}], 'phone_number': ['1-301-763-4636'], 'toll-free_number': ['1-800-923-8282'], 'tty': ['1-800-877-8339'], 'main_address': ['4600 Silver Hill Rd.', 'Washington,', 'DC', '20233']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Safety and Environmental Enforcement,[usagov] Bureau of Safety and Environmental Enforcement,"{'name': 'Bureau of Safety and Environmental Enforcement', 'description': 'The Bureau of Safety and Environmental Enforcement provides oversight and enforcement to promote safety, protect the environment, and conserve offshore resources.', 'website': [{'link': 'https://www.bsee.gov/', 'title': 'Bureau of Safety and Environmental Enforcement'}], 'contact': [{'link': 'https://www.bsee.gov/who-we-are/connect', 'title': ''}, {'link': 'https://www.bsee.gov/who-we-are/connect', 'title': 'Contact the Bureau of Safety and Environmental Enforcement'}], 'main_address': ['1849 C St., NW', 'Washington,', 'DC', '20240']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Reclamation,[usagov] Bureau of Reclamation,"{'name': 'Bureau of Reclamation', 'description': 'The Bureau of Reclamation is a provider of wholesale water and hydroelectric power in the U.S.', 'website': [{'link': 'https://www.usbr.gov/', 'title': 'Bureau of Reclamation'}], 'contact': [{'link': 'https://www.usbr.gov/main/offices.html', 'title': 'Contact the Bureau of Reclamation'}, {'link': 'https://www.usbr.gov/main/comments.cfm', 'title': 'Bureau of Reclamation Comments'}], 'phone_number': ['1-202-513-0575'], 'main_address': ['Bureau of Reclamation', '1849 C St., NW', 'Washington,', 'DC', '20240-0001']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Prisons,[usagov] Bureau of Prisons,"{'name': 'Bureau of Prisons', 'description': 'The Bureau of Prisons manages federal prisons, and community-based facilities that provide work and opportunities to assist offenders.', 'website': [{'link': 'https://www.bop.gov/', 'title': 'Bureau of Prisons'}], 'contact': [{'link': 'https://www.bop.gov/contact/', 'title': ''}, {'link': 'https://www.bop.gov/contact/', 'title': 'Contact the Bureau of Prisons'}], 'phone_number': ['1-202-307-3198'], 'email': [{'link': 'mailto:info@bop.gov', 'title': ''}, {'link': 'mailto:info@bop.gov', 'title': ''}], 'find_an_office_near_you': [{'link': 'https://www.bop.gov/inmateloc/', 'title': ''}, {'link': 'https://www.bop.gov/inmateloc/', 'title': 'Locate an Inmate in a Federal Prison'}], 'main_address': ['320 First St., NW', 'Washington,', 'DC', '20534']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Ocean Energy Management,[usagov] Bureau of Ocean Energy Management,"{'name': 'Bureau of Ocean Energy Management', 'description': 'The Bureau of Ocean Energy Management promotes energy independence, environmental protection, and economic development by managing offshore energy resources.', 'website': [{'link': 'https://www.boem.gov/', 'title': 'Bureau of Ocean Energy Management'}], 'contact': [{'link': 'https://www.boem.gov/about-boem/contact-us', 'title': ''}, {'link': 'https://www.boem.gov/about-boem/contact-us', 'title': 'Contact the Bureau of Ocean Energy Management'}], 'phone_number': ['1-202-208-6474'], 'email': [{'link': 'mailto:BOEMPublicAffairs@boem.gov', 'title': ''}, {'link': 'mailto:BOEMPublicAffairs@boem.gov', 'title': ''}], 'main_address': ['1849 C St., NW', 'Washington,', 'DC', '20240']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Land Management,[usagov] Bureau of Land Management,"{'name': 'Bureau of Land Management', 'description': 'The Bureau of Land Management manages outdoor recreation, livestock grazing, mineral development, and energy production on public lands.', 'website': [{'link': 'https://www.blm.gov/', 'title': 'Bureau of Land Management (BLM)'}], 'contact': [{'link': 'https://www.blm.gov/office/national-office', 'title': ''}, {'link': 'https://www.blm.gov/office/national-office', 'title': 'Contact the Bureau of Land Management'}], 'phone_number': ['1-202-208-3801'], 'email': [{'link': 'mailto:BLM_WO_NEWMEDIA@BLM.GOV', 'title': ''}, {'link': 'mailto:BLM_WO_NEWMEDIA@BLM.GOV', 'title': ''}], 'main_address': ['1849 C St., NW', 'Room 5665', 'Washington,', 'DC', '20240']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Labor Statistics,[usagov] Bureau of Labor Statistics,"{'name': 'Bureau of Labor Statistics', 'description': 'The Bureau of Labor Statistics measures labor market activity, working conditions, and price changes in the economy.', 'website': [{'link': 'https://stats.bls.gov/', 'title': 'Bureau of Labor Statistics'}], 'contact': [{'link': 'https://stats.bls.gov/bls/contact.htm', 'title': ''}, {'link': 'https://stats.bls.gov/bls/contact.htm', 'title': 'Contact the Bureau of Labor Statistics'}], 'phone_number': ['1-202-691-5200'], 'toll-free_number': ['1-800-877-8339'], 'find_an_office_near_you': [{'link': 'https://www.bls.gov/bls/regnhome.htm', 'title': ''}, {'link': 'https://www.bls.gov/bls/regnhome.htm', 'title': 'Regional Offices'}], 'main_address': ['Postal Square Building', '2 Massachusetts Ave., NE', 'Washington,', 'DC', '20212']}"
/US FEDERAL GOVERNMENT/[usagov] Bureau of Justice Statistics,[usagov] Bureau of Justice Statistics,"{'name': 'Bureau of Justice Statistics', 'description': 'The Bureau of Justice Statistics publishes information on crime, criminal offenders, victims of crime, and the operation of justice systems.', 'website': [{'link': 'https://www.bjs.gov/', 'title': 'Bureau of Justice Statistics'}], 'contact': [{'link': 'https://www.bjs.gov/index.cfm?ty=contactus', 'title': 'Contact the Bureau of Justice Statistics'}, {'link': 'https://ojp.gov/ovc/resourcecenter/index.html', 'title': 'Victims of Crime Resource Center'}], 'phone_number': ['1-202-307-0765'], 'email': [{'link': 'mailto:askbjs@usdoj.gov', 'title': ''}, {'link': 'mailto:askbjs@usdoj.gov', 'title': ''}], 'main_address': ['810 Seventh St., NW', 'Washington,', 'DC', '20531']}"
